iteracion,a,b,c,f(c),error_x,decision
111,198.28817186508465,1100.0,198.39401239419047,-4.108779377554811,0.10584052910581931,CONTINUAR
112,198.39401239419047,1100.0,198.49639725271663,-3.9750035419974665,0.10238485852616463,CONTINUAR
113,198.49639725271663,1100.0,198.59543772835934,-3.8455116769675897,0.09904047564270968,CONTINUAR
114,198.59543772835934,1100.0,198.69124162450856,-3.720171221698763,0.09580389614922069,CONTINUAR
115,198.69124162450856,1100.0,198.78391336285893,-3.598853416624422,0.09267173835036147,CONTINUAR
116,198.78391336285893,1100.0,198.8735540834266,-3.481433214273096,0.08964072056767236,CONTINUAR
117,198.8735540834266,1100.0,198.96026174200784,-3.367789190863647,0.08670765858124696,CONTINUAR
118,198.96026174200784,1100.0,199.04413120511725,-3.2578034587098443,0.08386946310940857,CONTINUAR
119,199.04413120511725,1100.0,199.12525434244566,-3.1513615795335284,0.08112313732840448,CONTINUAR
120,199.12525434244566,1100.0,199.20372011687792,-3.0483524787750866,0.0784657744322601,CONTINUAR
121,199.20372011687792,1100.0,199.27961467211304,-2.948668360980605,0.07589455523512356,CONTINUAR
122,199.27961467211304,1100.0,199.35302141792977,-2.8522046263349523,0.07340674581672602,CONTINUAR
123,199.35302141792977,1100.0,199.42402111314087,-2.7588597884035266,0.07099969521109983,CONTINUAR
124,199.42402111314087,1100.0,199.49269194628127,-2.668535393135471,0.06867083314040201,CONTINUAR
125,199.49269194628127,1100.0,199.5591096140744,-2.581135939176079,0.0664176677931323,CONTINUAR
126,199.5591096140744,1100.0,199.62334739772268,-2.496568799527097,0.06423778364828081,CONTINUAR
127,199.62334739772268,1100.0,199.6854762370667,-2.4147441445905997,0.062128839344012476,CONTINUAR
128,199.6854762370667,1100.0,199.74556480266,-2.335574866622437,0.06008856559330411,CONTINUAR
129,199.74556480266,1100.0,199.80367956580423,-2.258976505619728,0.05811476314423203,CONTINUAR
130,199.80367956580423,1100.0,199.8598848665907,-2.18486717665931,0.056205300786473344,CONTINUAR
131,199.8598848665907,1100.0,199.91424297999365,-2.1131674987015003,0.054358113402940944,CONTINUAR
