metodo,inicio,iteracion,z_anterior,z_actual,a,b,c,f_z,f_c,error,decision
Secante,"-8.0, -7.0",10,,,1.5855468750000012,1.5857421875000013,1.5856445312500012,,2.436431723817911e-06,9.76562500000222e-05,Bisección
Secante,"-8.0, -7.0",11,,,1.5855468750000012,1.5856445312500012,1.5855957031250012,,-4.45324921038992e-06,4.882812499995559e-05,Bisección
Secante,"-8.0, -7.0",12,,,1.5855957031250012,1.5856445312500012,1.585620117187501,,-1.008380989597768e-06,2.4414062499977796e-05,Bisección
Secante,"-8.0, -7.0",13,,,1.585620117187501,1.5856445312500012,1.585632324218751,,7.140323055043751e-07,1.2207031250044409e-05,Bisección
Secante,"0.0, 1.0",1,1.0,1.2141046265337554,,,,-0.05897559048086454,,0.2141046265337554,Secante amortiguada
Secante,"0.0, 1.0",2,1.2141046265337554,1.3720764050955685,,,,-0.03228457909184912,,0.1579717785618131,Secante amortiguada
Secante,"0.0, 1.0",3,1.3720764050955685,1.4676151672827114,,,,-0.017305367447134068,,0.09553876218714286,Secante amortiguada
Secante,"0.0, 1.0",4,1.4676151672827114,1.5228027640771058,,,,-0.009049168875109315,,0.055187596794394445,Secante amortiguada
Secante,"0.0, 1.0",5,1.5228027640771058,1.5530468212450188,,,,-0.0046466480648660324,,0.030244057167913008,Secante amortiguada
Secante,"0.0, 1.0",6,1.5530468212450188,1.5690073919918968,,,,-0.002357941896371285,,0.015960570746877956,Secante amortiguada
Secante,"0.0, 1.0",7,1.5690073919918968,1.5772290892486516,,,,-0.0011882686015378674,,0.008221697256754812,Secante amortiguada
Secante,"0.0, 1.0",8,1.5772290892486516,1.5814052915885295,,,,-0.0005965505290059792,,0.004176202339877921,Secante amortiguada
Secante,"0.0, 1.0",9,1.5814052915885295,1.5835104459101055,,,,-0.0002988916749877557,,0.002105154321575986,Secante amortiguada
Secante,"0.0, 1.0",10,1.5835104459101055,1.5845673825555127,,,,-0.0001496015459354627,,0.0010569366454071805,Secante amortiguada
Secante,"0.0, 1.0",11,1.5845673825555127,1.5850969532549035,,,,-7.483990491441439e-05,,0.0005295706993908578,Secante amortiguada
Secante,"0.0, 1.0",12,1.5850969532549035,1.5853620157939716,,,,-3.742976131426712e-05,,0.00026506253906810606,Secante amortiguada
Secante,"0.0, 1.0",13,1.5853620157939716,1.5854946165623183,,,,-1.871733612179849e-05,,0.0001326007683466468,Secante amortiguada
Secante,"0.0, 1.0",14,1.5854946165623183,1.5855609343465078,,,,-9.359282334697738e-06,,6.631778418952905e-05,Secante amortiguada
Secante,"0.0, 1.0",15,1.5855609343465078,1.5855940975917808,,,,-4.6797947866883405e-06,,3.316324527302683e-05,Secante amortiguada
Secante,"0.0, 1.0",16,1.5855940975917808,1.5856106803031083,,,,-2.3399358046738428e-06,,1.6582711327428612e-05,Secante amortiguada
Secante,"0.0, 1.0",17,1.5856106803031083,1.5856189719309952,,,,-1.1699775058771067e-06,,8.291627886958253e-06,Secante amortiguada
Secante,"0.0, 1.0",18,1.5856189719309952,1.585623117813,,,,-5.849911539623776e-07,,4.145882004813473e-06,Secante amortiguada
